"","Council","serv2a","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2022","2023"
"103","Midlothian","Have used in the past year","50.4","46.9","38.4","43.1","39.1","40.6","53.9","44","42","40.7","34.6","31","29.2"
"104","Midlothian","Not used in the past year","12.8","17.4","20.6","18.8","22.6","16.7","20.3","7.8","22.2","21.2","32.6","48.5","42.7"
"105","Midlothian","Never used","36.7","35.7","40.1","38.1","38.2","42.2","25.8","47.8","35.8","38.1","32.8","20.5","28.1"
"106","Midlothian","Don't know","0.1","-","0.9","-","0.2","0.5","-","0.3","-","-","-","-","-"
"107","Midlothian","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"108","Midlothian","Base","380","360","170","200","240","190","200","260","260","250","280","260","230"
"109","Moray","Have used in the past year","38.3","42.3","45.5","40.6","47.4","38.9","42.2","40.8","31.4","31.6","41.4","42.6","28.1"
"110","Moray","Not used in the past year","16.3","20","24.7","19.9","21.4","25.8","29.8","27.7","40.5","44.4","24.9","25.2","43.6"
"111","Moray","Never used","45","37.7","29.8","39.5","31","35.4","27.9","31.5","27.6","24","33.7","31.3","27.9"
"112","Moray","Don't know","0.4","-","-","-","0.2","-","-","-","0.5","-","-","0.9","0.4"
"113","Moray","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"114","Moray","Base","430","430","200","240","250","250","250","240","220","220","230","200","230"
"115","Na h-Eileanan Siar","Have used in the past year","35.8","37.7","37.5","43.8","44.2","42.7","40.4","37.2","35.1","33.6","30.3","36","33.8"
"116","Na h-Eileanan Siar","Not used in the past year","16.7","27.3","22.3","28.8","16.6","19.1","25.6","18.1","35.5","52.7","58.1","43.3","24.4"
"117","Na h-Eileanan Siar","Never used","47","35","39.6","27","39.2","38.2","33.8","44.7","29.4","13.7","11.7","20.8","41.6"
"118","Na h-Eileanan Siar","Don't know","0.5","-","0.7","0.4","-","-","0.2","-","-","-","-","-","0.2"
"119","Na h-Eileanan Siar","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"120","Na h-Eileanan Siar","Base","350","330","160","260","280","270","280","260","320","300","280","350","260"
"121","North Ayrshire","Have used in the past year","38.4","30.8","36.7","46.8","46.1","45.6","35.1","38.5","32.9","33.4","37.5","40","37.7"
"122","North Ayrshire","Not used in the past year","19.8","36.8","25.6","40.2","30.2","23.5","43.5","34.3","26.3","35.6","37.5","35.8","42.1"
"123","North Ayrshire","Never used","41.3","32.2","37.8","13.1","23.1","30.7","21.4","26.4","40.7","30.9","25","24.2","20.3"
"124","North Ayrshire","Don't know","0.5","0.3","-","-","0.6","0.2","-","0.8","-","-","-","-","-"
"125","North Ayrshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"126","North Ayrshire","Base","500","540","280","300","240","250","240","260","210","220","230","160","230"
"127","North Lanarkshire","Have used in the past year","39.2","36.9","38.2","43.2","35.9","42.7","35","42.6","40.9","34.7","32.9","29.5","35.8"
