"","Council","","2013","2014","2015","2016","2017","2019","2023"
"107","Fife","Once a month","14.2","13.9","10.9","18.6","14.4","12.6","14.5"
"108","Fife","Less often","10.5","13.6","12.5","9.7","11.7","16.8","5.9"
"109","Fife","Not at all","21.9","18.3","22.1","20.5","13.4","13.1","21.8"
"110","Fife","Don't know","0.1","0.2","-","0.2","-","0.1","0.6"
"111","Fife","All","100","100","100","100","100","100","100"
"112","Fife","Base","500","480","470","480","460","480","470"
"113","Glasgow City","Every day / Several times a week","26.7","28.7","25.1","27.9","32.1","31.1","33.1"
"114","Glasgow City","Once a week","12.2","12.6","14.2","13.2","12.5","13","13.8"
"115","Glasgow City","Once a month","19.2","17.1","15.8","19.2","18.5","19.1","17.3"
"116","Glasgow City","Less often","11.2","10.6","17.4","12.8","15","14.7","14.3"
"117","Glasgow City","Not at all","30.4","30.7","27.4","26.9","21.8","21.9","21.4"
"118","Glasgow City","Don't know","0.3","0.2","0.2","0.1","0.1","0.1","0"
"119","Glasgow City","All","100","100","100","100","100","100","100"
"120","Glasgow City","Base","890","930","800","790","820","820","870"
"121","Highland","Every day / Several times a week","39.7","51.9","44.6","51.5","56.4","42.3","55.7"
"122","Highland","Once a week","11.7","13.5","9.9","13","5.3","7.7","8.6"
"123","Highland","Once a month","9.3","9.1","10.8","13","12.8","14","9.8"
"124","Highland","Less often","12.5","6.9","19.9","9.4","10.3","10.2","6.8"
"125","Highland","Not at all","26.7","18.6","14.8","13.1","15.3","25.8","18.8"
"126","Highland","Don't know","-","-","-","-","-","-","0.3"
"127","Highland","All","100","100","100","100","100","100","100"
"128","Highland","Base","270","310","290","270","310","320","320"
"129","Inverclyde","Every day / Several times a week","25.2","25.5","26.4","24.8","27.6","26.9","47.1"
"130","Inverclyde","Once a week","15.3","10","12.5","14.6","10.9","14.5","15"
"131","Inverclyde","Once a month","12.3","15.5","14.8","13.9","14.2","13.2","8.8"
"132","Inverclyde","Less often","13.6","8.9","8.9","16.3","11","13.3","12.2"
"133","Inverclyde","Not at all","33.3","40.1","37.4","30.3","36.3","32.1","16.8"
"134","Inverclyde","Don't know","0.2","-","-","-","-","-","-"
"135","Inverclyde","All","100","100","100","100","100","100","100"
"136","Inverclyde","Base","240","250","260","240","260","230","230"
"137","Midlothian","Every day / Several times a week","34","40.3","44.2","36.8","38.9","32.3","52.3"
"138","Midlothian","Once a week","14.9","12.1","17.1","13.6","11.6","17.8","12.2"
"139","Midlothian","Once a month","18.4","19.6","19.5","21.4","16.4","19.6","7.7"
"140","Midlothian","Less often","9.6","6.1","5.8","7.9","11.1","12.1","6.5"
"141","Midlothian","Not at all","23.1","21.9","13","20.3","21.8","18","21.4"
"142","Midlothian","Don't know","-","-","0.5","-","0.2","0.2","-"
"143","Midlothian","All","100","100","100","100","100","100","100"
"144","Midlothian","Base","240","190","200","260","260","280","230"
"145","Moray","Every day / Several times a week","42.2","37.7","40","43.3","49.8","34.3","43.6"
"146","Moray","Once a week","14","15","11.5","9.2","7.6","11.3","13.5"
"147","Moray","Once a month","17.7","12","13.6","13","10.4","14.9","13.9"
"148","Moray","Less often","14.8","11.9","13.7","11.5","11.5","8.5","10"
"149","Moray","Not at all","11.4","23.5","21.3","22.5","20.7","31.1","19"
"150","Moray","Don't know","-","-","-","0.5","-","-","-"
"151","Moray","All","100","100","100","100","100","100","100"
"152","Moray","Base","240","250","250","240","220","220","230"
"153","Na h-Eileanan Siar","Every day / Several times a week","48.9","58.3","51.1","47.3","49.9","37.4","42.7"
"154","Na h-Eileanan Siar","Once a week","12.4","10.6","9.8","8.6","10.7","13","9.2"
"155","Na h-Eileanan Siar","Once a month","8.7","7.9","7.5","9.9","11.8","12","15.1"
"156","Na h-Eileanan Siar","Less often","13","12","16.9","18.1","8.6","17.8","8.8"
"157","Na h-Eileanan Siar","Not at all","17.1","11.3","14.7","16.2","18.9","19.8","24.1"
"158","Na h-Eileanan Siar","Don't know","-","-","-","-","-","-","-"
"159","Na h-Eileanan Siar","All","100","100","100","100","100","100","100"
"160","Na h-Eileanan Siar","Base","270","260","280","250","320","280","260"
"161","North Ayrshire","Every day / Several times a week","30.8","40.3","45.9","33","34.5","39.8","48.2"
"162","North Ayrshire","Once a week","16.8","14.8","11.2","11","10.6","11.5","12.2"
"163","North Ayrshire","Once a month","16.2","11.4","12.1","13.6","10.8","16.7","9.6"
"164","North Ayrshire","Less often","15.8","8.5","8.2","17.3","14.1","8.8","6.2"
"165","North Ayrshire","Not at all","20.4","24.4","22.6","25.1","28.7","22.5","23.8"
"166","North Ayrshire","Don't know","-","0.6","-","-","1.3","0.7","-"
"167","North Ayrshire","All","100","100","100","100","100","100","100"
