"","Council","Satisfaction","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2022","2023"
"68","Edinburgh, City of","Neither satisfied nor dissatisfied","12.5","10.2","6.7","3.7","6","10.2","17.9","12.6","16.3","12.3","9.3","8.9","18.9"
"69","Edinburgh, City of","Very/fairly dissatisfied","5.1","5.8","6.9","5","3.1","3.4","4.1","2","3.7","2.7","2.9","2.5","1.8"
"70","Edinburgh, City of","No opinion","35","39.1","32.7","43.3","49.5","43.8","35","48.1","32.2","38.1","52.7","57.7","41.8"
"71","Edinburgh, City of","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"72","Edinburgh, City of","Base","1410","1450","750","720","750","710","630","720","700","780","840","1010","830"
"73","Falkirk","Very/fairly satisfied","51.9","46.1","57.8","44.8","60.6","67.2","61.1","61","63.1","52.7","43.7","34.6","41.2"
"74","Falkirk","Neither satisfied nor dissatisfied","9.3","9.5","6.2","10","7.7","9.3","10.9","13.2","15.2","13.5","12.9","16.2","12.9"
"75","Falkirk","Very/fairly dissatisfied","7.7","6.8","8.6","4.8","3.1","5.4","5.7","5.2","5.2","9.2","4.1","8.3","7.1"
"76","Falkirk","No opinion","31.2","37.6","27.5","40.3","28.6","18.1","22.3","20.5","16.5","24.6","39.3","40.9","38.7"
"77","Falkirk","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"78","Falkirk","Base","440","430","230","240","240","260","260","250","260","210","220","200","220"
"79","Fife","Very/fairly satisfied","50.6","49.7","49.9","50.3","47.3","56.1","60.7","55.6","65.5","56.9","56.1","47.8","46.3"
"80","Fife","Neither satisfied nor dissatisfied","11.1","11.2","10.5","11","15.6","12.8","14.2","14.9","17","22","15.5","15.6","17.3"
"81","Fife","Very/fairly dissatisfied","8.5","8.1","9.4","6","5.3","2.9","6.2","4","2.2","4.3","4.6","5.8","5.4"
"82","Fife","No opinion","29.8","31.1","30.3","32.6","31.8","28.2","18.8","25.5","15.3","16.8","23.7","30.8","31"
"83","Fife","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"84","Fife","Base","1340","1250","630","480","510","490","470","480","460","520","480","450","480"
"85","Glasgow City","Very/fairly satisfied","49.5","49.1","52.6","51.7","53.4","44.7","41.1","43.9","46.5","43.3","41.8","36.9","40.7"
"86","Glasgow City","Neither satisfied nor dissatisfied","7.1","6.8","9","5.1","4.6","16.1","13.2","20","17.1","9.2","12.6","27.1","18.8"
"87","Glasgow City","Very/fairly dissatisfied","6.2","4.5","5.6","4.2","4.6","4.5","3.7","1.7","4.2","4.6","3.8","5.6","4.1"
"88","Glasgow City","No opinion","37.2","39.6","32.8","39","37.4","34.7","42","34.3","32.3","42.9","41.8","30.5","36.4"
"89","Glasgow City","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"90","Glasgow City","Base","1960","1900","1000","910","910","950","810","800","840","910","850","870","890"
"91","Highland","Very/fairly satisfied","53.2","51.5","50.2","52.6","60.2","57.9","48.6","52.5","51.1","53.7","47.8","39.2","44.2"
"92","Highland","Neither satisfied nor dissatisfied","7.8","8.5","5.8","5.9","7.1","13.6","15.5","10.5","13.7","21.9","17.5","10.8","5.5"
"93","Highland","Very/fairly dissatisfied","11.8","8","7.8","7","2.3","3.6","4.7","11.9","6.5","5.7","7.2","8.6","5.4"
"94","Highland","No opinion","27.3","32","36.1","34.5","30.4","24.9","31.2","25.1","28.8","18.7","27.4","41.4","44.9"
"95","Highland","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"96","Highland","Base","910","810","410","290","300","320","300","280","320","330","330","280","340"
"97","Inverclyde","Very/fairly satisfied","56.3","57.8","53","65.3","62.4","59.5","59.3","59.3","57.8","46.1","37.8","53.6","54.7"
"98","Inverclyde","Neither satisfied nor dissatisfied","6.8","3.3","10.8","3.6","5.5","4.1","4.6","3.4","11","3.9","8.1","13.3","19.6"
"99","Inverclyde","Very/fairly dissatisfied","4.8","6.9","7.1","1.2","4.4","3.4","2.9","2.4","2.8","3.1","3.2","6.3","4.7"
"100","Inverclyde","No opinion","32.1","32","29.2","29.9","27.7","33","33.1","35","28.3","46.8","51","26.8","20.9"
"101","Inverclyde","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"102","Inverclyde","Base","380","350","180","280","250","250","270","240","270","240","240","180","230"
"103","Midlothian","Very/fairly satisfied","57.1","53","49.1","54.4","50.2","53","62.6","45.8","51.9","47.4","32","36.3","33.3"
"104","Midlothian","Neither satisfied nor dissatisfied","8.1","6.5","5.4","10.8","11.4","16.5","20.1","10","16.5","25.6","22.3","18.5","20.1"
"105","Midlothian","Very/fairly dissatisfied","5.2","6.9","13.4","5.7","3.2","3.9","3.7","3","2.6","6","3.5","1.5","3.1"
"106","Midlothian","No opinion","29.5","33.6","32.1","29.1","35.1","26.6","13.5","41.2","29.1","21.1","42.2","43.7","43.4"
"107","Midlothian","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"108","Midlothian","Base","380","360","170","200","240","190","200","260","260","250","280","260","230"
"109","Moray","Very/fairly satisfied","60.7","67","69.2","61.7","62.6","66.6","56.2","64.4","49.8","44.8","57.4","49.2","41.4"
"110","Moray","Neither satisfied nor dissatisfied","10.4","11.6","5.1","8.4","13","12.4","20.8","19.5","27.2","14.1","13","19.3","10.4"
"111","Moray","Very/fairly dissatisfied","11","4.5","6.6","6.8","6.2","7.8","3.5","5.1","4.9","7","7.9","9.1","4.8"
"112","Moray","No opinion","17.9","16.8","19.2","23.2","18.1","13.2","19.4","10.9","18.1","34.1","21.7","22.4","43.4"
"113","Moray","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"114","Moray","Base","430","430","200","240","250","250","250","240","220","220","230","200","230"
"115","Na h-Eileanan Siar","Very/fairly satisfied","58.9","65.2","65.3","72.6","76.9","74.8","77.8","74.5","56.2","40.8","38","37.4","55.4"
"116","Na h-Eileanan Siar","Neither satisfied nor dissatisfied","5","4.6","8","3.9","6.5","13.2","10.4","13.4","25.9","35.2","38.3","3.8","5.6"
"117","Na h-Eileanan Siar","Very/fairly dissatisfied","6.2","6","9.3","5","3.7","3","2.3","3.5","3","0.5","1.5","7.5","4"
"118","Na h-Eileanan Siar","No opinion","30","24.2","17.3","18.5","12.9","9","9.5","8.7","15","23.5","22.1","51.3","34.9"
"119","Na h-Eileanan Siar","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"120","Na h-Eileanan Siar","Base","350","330","160","260","280","270","280","260","320","300","280","350","260"
"121","North Ayrshire","Very/fairly satisfied","45.2","39.6","43.4","68.2","58.2","42.9","38.7","48.8","39.1","31.6","34.2","56.6","59.8"
"122","North Ayrshire","Neither satisfied nor dissatisfied","12.1","6.6","9.9","4.6","5.6","7.4","8.8","6.8","7.6","16","6","16.7","10"
"123","North Ayrshire","Very/fairly dissatisfied","12.8","11.9","11","2.8","6.3","9.5","7.7","9.2","7.2","5.8","11","6.8","10.7"
"124","North Ayrshire","No opinion","29.9","41.9","35.7","24.4","29.9","40.2","44.7","35.2","46.1","46.5","48.9","19.9","19.5"
"125","North Ayrshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"126","North Ayrshire","Base","500","540","280","300","240","250","240","260","210","220","230","160","230"
"127","North Lanarkshire","Very/fairly satisfied","52.1","52.9","55.7","68.7","66.7","64.5","58","60.5","58.2","43.4","44.8","46.1","46.2"
"128","North Lanarkshire","Neither satisfied nor dissatisfied","9.7","9.2","9.6","6.7","4.8","9.3","13.6","9.4","10.9","16.7","10.4","12.9","17.1"
"129","North Lanarkshire","Very/fairly dissatisfied","10","6.9","6.9","4.9","7","5.6","3.9","5.6","5.1","7.5","15.6","9.1","4.7"
"130","North Lanarkshire","No opinion","28.1","31","27.8","19.7","21.5","20.6","24.5","24.5","25.8","32.4","29.2","32","32"
"131","North Lanarkshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"132","North Lanarkshire","Base","960","950","480","410","430","450","410","440","420","440","460","380","480"
