Years,Area name,Frequency of use nearest green space,Percentage
2023,West Dunbartonshire,Once a week,12.1
2023,West Dunbartonshire,Once a month,13.8
2023,West Dunbartonshire,Less often,9.5
2023,West Dunbartonshire,Not at all,27.5
2023,West Dunbartonshire,Base,220
2013,West Lothian,Every day / Several times a week,37.2
2013,West Lothian,Once a week,11.9
2013,West Lothian,Once a month,17.6
2013,West Lothian,Less often,10.1
2013,West Lothian,Not at all,22.6
2013,West Lothian,Don't know,0.6
2013,West Lothian,Base,250
2014,West Lothian,Every day / Several times a week,28
2014,West Lothian,Once a week,11.6
2014,West Lothian,Once a month,20.7
2014,West Lothian,Less often,11.3
2014,West Lothian,Not at all,26.4
2014,West Lothian,Don't know,2.2
2014,West Lothian,Base,190
2015,West Lothian,Every day / Several times a week,29.8
2015,West Lothian,Once a week,21.8
2015,West Lothian,Once a month,22.2
2015,West Lothian,Less often,10.2
2015,West Lothian,Not at all,16
2015,West Lothian,Base,220
2016,West Lothian,Every day / Several times a week,28.7
2016,West Lothian,Once a week,23.5
2016,West Lothian,Once a month,22.3
2016,West Lothian,Less often,7.5
2016,West Lothian,Not at all,17.9
2016,West Lothian,Base,240
2017,West Lothian,Every day / Several times a week,34.4
2017,West Lothian,Once a week,14.5
2017,West Lothian,Once a month,21.2
2017,West Lothian,Less often,9.6
2017,West Lothian,Not at all,20.3
2017,West Lothian,Base,280
2019,West Lothian,Every day / Several times a week,35.6
2019,West Lothian,Once a week,11
2019,West Lothian,Once a month,18.5
2019,West Lothian,Less often,18.6
2019,West Lothian,Not at all,16.1
2019,West Lothian,Don't know,0.2
2019,West Lothian,Base,230
2023,West Lothian,Every day / Several times a week,39.2
2023,West Lothian,Once a week,16.9
2023,West Lothian,Once a month,13.5
2023,West Lothian,Less often,14.7
2023,West Lothian,Not at all,15.7
2023,West Lothian,Base,230
